"wikidata1","event","subject","wikidata2","date_from"
"Q744167","change_state","Смаленскае княства (XII ст.)
","Q1483495",1156
"Q744167","change_state","Мсціслаўскае княства (сталіца, XII ст.)","Q15846567",1180
"Q744167","change_state","Вялікае княства Літоўскае (ад 1359 г.)","Q49683",1359
"Q744167","change_state","Руская дзяржава (1514 г.)","Q4304392",1514
"Q744167","change_state","Вялікае княства Літоўскае (ад 1514 г.)","Q49683","8.9.1514"
"Q744167","change_state","Рэч Паспалітая (ад 1569 г.)","Q172107",1569
"Q744167","change_state","Расійская імперыя (ад 1772 г.)","Q34266",1772
"Q744167","change_state","РСФСР (з 1917 г.)","Q2184",1917
"Q744167","change_state","БССР (1-15 студзеня 1919)","Q2895",1.1.1919
"Q744167","change_state","РСФСР (16 студзеня 1919-1924 гг.)","Q2184",16.1.1919
"Q744167","change_state","БССР (1924-1991 гг.)","Q2895",1924
"Q744167","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q744167","get_magdeburg",,,1634
"Q744167","become_city",,,1634
"Q954343","change_state","ВКЛ (XV ст.)","Q49683","14??"
"Q954343","change_state","Рэч Паспалітая","Q172107",1569
"Q954343","change_state","Расійская імперыя (з 1772 г., толькі ўсходняя частка горада, стала называцца Стары ці Рускі Талачын)","Q34266",1772
"Q954343","change_state","Расійская імперыя (1772 -1793 гг., заходняя частка мястэчка (за Друццю) стала называцца Новы ці Зарэчны Талачын)","Q34266",1772
"Q954343","change_state","РСФСР (1917-1922 гг.)","Q2184",1917
"Q954343","change_state","БССР (1924-1991 гг.)","Q2895",1924
"Q954343","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q954343","get_magdeburg",,,"4.10.1634"
"Q954343","become_city",,,"4.10.1634"
"Q954343","become_town",,,"15??"
"Q954343","become_town",,,1783
"Q954343","become_settlement",,,27.09.1938
"Q954343","become_city",,,1955
"Q955113","change_state","ВКЛ","Q49683","12??"
"Q955113","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q955113","change_state","Расійская імперыя (з 1772 г.)","Q34266",1772
"Q955113","change_state","БНР (з 25 сакавіка 1925 г.)","Q842199",25.03.1918
"Q955113","change_state","РСФСР","Q2184","19??"
"Q955113","change_state","БССР (з 1-15 студзеня 1919 г.)","Q2895",1919
"Q955113","change_state","РСФСР (з 16 студзеня 1919 г.)","Q2184",1919
"Q955113","change_state","БССР (1924 -1991 гг.)","Q2895",1924
"Q955113","change_state","Рэспубліка Беларусь","Q184",1991
"Q955113","get_magdeburg",,,"12.08.1634"
"Q955113","become_city",,,"12.08.1634"
"Q955113","become_city",,,1604
"Q615132","change_state","ВКЛ","Q49683","12??"
"Q615132","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q615132","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q615132","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q615132","change_state","БССР (з 1939 г.)","Q2895",1939
"Q615132","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q615132","get_magdeburg",,,"20.06.1637"
"Q615132","become_city",,,"20.06.1637"
"Q615132","become_settlement",,,15.01.1940
"Q375228","change_state","ВКЛ","Q49683","12??"
"Q375228","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q375228","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q375228","change_state","БНР (25 сакавіка 1918 г.)","Q842199",1918
"Q375228","change_state","БССР (з 1 студзеня 1919 г.)","Q2895",1919
"Q375228","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1922
"Q375228","change_state","БССР (з 1939 г.)","Q2895",1939
"Q375228","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q375228","get_magdeburg",,,1641
"Q375228","become_town",,,1487
"Q375228","become_city",,,1641
"Q375228","become_city",,,1931
"Q375228","become_settlement",,,05.01.1940
"Q955126","change_state","ВКЛ","Q49683","12??"
"Q955126","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q955126","change_state","Расійская імперыя (з 1772 г.)","Q34266",1772
"Q955126","change_state","БНР (25 сакавіка 1918 г.)","Q842199",1918
"Q955126","change_state","БССР (з 1-15 студзеня 1919 г.)","Q2895",1919
"Q955126","change_state","РСФСР (з 16 студзеня 1919 г.)","Q2184",1919
"Q955126","change_state","БССР (з 1924 г.)","Q2895",1924
"Q955126","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q955126","get_magdeburg",,,1641
"Q955126","become_city",,,1641
"Q2499527","change_state","ВКЛ","Q49683","12??"
"Q2499527","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2499527","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q2499527","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q2499527","change_state","БССР (з 1939 г.)","Q2895",1939
"Q2499527","change_state","Рэспубліка Беларусь (з 1991 г.)","Q184",1991
"Q2499527","get_magdeburg",,,1642
"Q2499527","become_agrotown",,,"20??"
"Q21780642","change_state","ВКЛ","Q49683","12??"
"Q21780642","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q21780642","change_state","Расійская імперыя (з 1772 г.)","Q34266",1772
"Q21780642","change_сity","Мсціслаў (з XIX ст.)","Q744167","18??"
"Q21780642","change_state","РСФСР (з 1917 г.)","Q2184",1917
